"year","value","state","stcname","stcgroup","units","base"
2007,7.22966801975783,"SD","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,0.178434359636576,"VA","Amusement","License Taxes","Million Dollars","Real"
2007,903.331636796359,"NJ","Occupation and Business","License Taxes","Million Dollars","Real"
2007,46.5021476394253,"UT","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1659.03345262926,"CA","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,5034.493154374,"MO","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,9.37857147158798,"CO","Alcohol","License Taxes","Million Dollars","Real"
2007,111.236902733785,"MN","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,16.097548048248,"UT","Veh. Operators","License Taxes","Million Dollars","Real"
2007,41.6490407027581,"IA","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,46.0053002414718,"GA","Corporations","License Taxes","Million Dollars","Real"
2007,97.6574326745459,"GA","Veh. Operators","License Taxes","Million Dollars","Real"
2007,39.4847549785455,"MT","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,26.0837192789433,"WI","Corporations","License Taxes","Million Dollars","Real"
2007,285.874917546369,"MS","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,148.815794164143,"MA","Other","License Taxes","Million Dollars","Real"
2007,389.517592404931,"WA","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,234.624262422477,"WV","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,19.2478374321765,"OR","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,2539.4516564847,"NE","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,0.542994215100961,"NM","Public Utilities","License Taxes","Million Dollars","Real"
2007,8.05569604669612,"KS","Public Utilities","License Taxes","Million Dollars","Real"
2007,3.03184588658355,"VT","Other","License Taxes","Million Dollars","Real"
2007,16.7512946245027,"MS","Other","License Taxes","Million Dollars","Real"
2007,104.03953748603,"PA","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,43.5502895692306,"LA","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,241.087893277588,"MI","Other","License Taxes","Million Dollars","Real"
2007,0,"WV","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,80.3031529726506,"WI","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,0.339948219652443,"WV","Other","License Taxes","Million Dollars","Real"
2007,62.3258912392655,"FL","Property Tax","Property Taxes","Million Dollars","Real"
2007,165.511712608069,"MN","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
2007,4.08399331754405,"AR","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,749.299714067322,"NC","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,0.686049348257871,"HI","Veh. Operators","License Taxes","Million Dollars","Real"
2007,48.4941519129543,"CA","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,96.3853187485161,"MO","Other","License Taxes","Million Dollars","Real"
2007,7099.84933198603,"IN","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,698.381316026892,"FL","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,3748.13678234534,"AK","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,230.860220370488,"MT","Vehicles","License Taxes","Million Dollars","Real"
2007,18039.0861625447,"NJ","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,58.8802622255937,"MT","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,121.455346277455,"GA","Property Tax","Property Taxes","Million Dollars","Real"
2007,75.1900856327197,"CA","Alcohol","License Taxes","Million Dollars","Real"
2007,0,"CT","Property Tax","Property Taxes","Million Dollars","Real"
2007,171.924581964318,"GA","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,193.170576578976,"MS","Corporations","License Taxes","Million Dollars","Real"
2007,52.4658546421064,"TN","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,877.620168509071,"KY","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,40.6661134975187,"SD","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,4.27011881337186,"WY","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,4.96693575229746,"WV","Veh. Operators","License Taxes","Million Dollars","Real"
2007,3.76558027922706,"ID","Corporations","License Taxes","Million Dollars","Real"
2007,7.0327749332623,"IN","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,0.57683521434238,"VT","Alcohol","License Taxes","Million Dollars","Real"
2007,1811.90555202066,"NM","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,2.2734998581281,"HI","Corporations","License Taxes","Million Dollars","Real"
2007,4.11475786230898,"IA","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,17.0681694355815,"OK","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,5.93601891239265,"MA","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,2408.16242347314,"NC","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,390.362079158729,"CT","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,0.039993908194405,"AZ","Amusement","License Taxes","Million Dollars","Real"
2007,48.1834300108286,"MO","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,2.46731649014714,"TN","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,1530.62224278046,"TX","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,4651.36689614398,"FL","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,110.935410195088,"NV","Corporations","License Taxes","Million Dollars","Real"
2007,22.4273531336317,"HI","Public Utilities","License Taxes","Million Dollars","Real"
2007,534.437056974596,"WV","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,158.88810612018,"NJ","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,8002.50876347928,"NC","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,38.3187787319548,"KY","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,7.86187941467708,"UT","Other","License Taxes","Million Dollars","Real"
2007,624.300292232948,"OR","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,46.1468171473904,"NM","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,60.4569451447962,"AK","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,281.269465195059,"WA","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
2007,4.27165704061011,"MS","Alcohol","License Taxes","Million Dollars","Real"
2007,192.026135513721,"MS","Vehicles","License Taxes","Million Dollars","Real"
2007,1532.38197474101,"WI","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1182.76445866895,"AZ","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,930.166010967566,"NJ","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
2007,33.1934055741179,"AR","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,0,"NM","Amusement","License Taxes","Million Dollars","Real"
2007,152.10760045399,"AZ","Occupation and Business","License Taxes","Million Dollars","Real"
2007,26.8297594894928,"KY","Veh. Operators","License Taxes","Million Dollars","Real"
2007,1.67512946245027,"MD","Alcohol","License Taxes","Million Dollars","Real"
2007,26.3898264993543,"SC","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,7.6234541927489,"NE","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,20.7060768540341,"MI","Alcohol","License Taxes","Million Dollars","Real"
2007,1281.21407837119,"MT","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,142.095279360245,"AR","Occupation and Business","License Taxes","Million Dollars","Real"
2007,2.46424003567065,"MN","Alcohol","License Taxes","Million Dollars","Real"
2007,120.050944808936,"NJ","Amusement","License Taxes","Million Dollars","Real"
2007,894.000750369156,"VT","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,16288.2128526559,"NC","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,0.276880902884343,"WY","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,4.57930248825938,"WY","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,80.2693119734091,"SC","Veh. Operators","License Taxes","Million Dollars","Real"
2007,28.4049041814571,"IN","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,11.8351203710674,"WI","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,10.7475937136272,"DE","Public Utilities","License Taxes","Million Dollars","Real"
2007,778.167624647492,"AL","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,737.49535824102,"CO","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,1597.65203291428,"WA","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,124.379516257361,"DE","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,4.57161135206814,"CO","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,347.15173780915,"HI","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,71.9505790689729,"NM","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,673.85735916753,"MA","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1249.78963412106,"OH","Vehicles","License Taxes","Million Dollars","Real"
2007,14472.3140627247,"IL","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,683.179016231303,"WA","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,61.3598845336468,"OR","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,8331.20023620223,"NY","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,22.1150930042677,"NY","Other","License Taxes","Million Dollars","Real"
2007,64.5701647798669,"MS","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1669.89948984023,"RI","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,9.76466650838781,"CA","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
2007,131.586110868546,"OK","Occupation and Business","License Taxes","Million Dollars","Real"
2007,2282.99072018808,"NE","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,3296.4040510623,"PA","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,18.2587573179841,"LA","Veh. Operators","License Taxes","Million Dollars","Real"
2007,70.3477462867202,"VA","Veh. Operators","License Taxes","Million Dollars","Real"
2007,0,"NM","Taxes, not elsewhere classified","Other Taxes","Million Dollars","Real"
2007,944.471524283257,"NC","Vehicles","License Taxes","Million Dollars","Real"
2007,16.0390954131947,"CO","Veh. Operators","License Taxes","Million Dollars","Real"
2007,46.4560008222779,"MO","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,1731.51164364095,"OH","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,209.941868157576,"MI","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,88.6557268763282,"ND","Vehicles","License Taxes","Million Dollars","Real"
2007,12.0181694124187,"TN","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,134.925602202778,"WV","Vehicles","License Taxes","Million Dollars","Real"
2007,17.2173774776914,"NV","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,407.230279053338,"MT","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,811.302577586556,"KS","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,179.863372740907,"TX","Veh. Operators","License Taxes","Million Dollars","Real"
2007,0.941395069806765,"WI","Amusement","License Taxes","Million Dollars","Real"
2007,18.3187481802758,"AZ","Other","License Taxes","Million Dollars","Real"
2007,0.116905270106722,"WA","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,155.125602295429,"HI","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,706.289342258716,"WA","Vehicles","License Taxes","Million Dollars","Real"
2007,24.4301249978285,"NC","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,3.15182761116677,"MS","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,12279.8187891899,"MI","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,5776.51397714994,"FL","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,43.2211089402459,"FL","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,76.8821355947907,"MI","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,1389.36375903782,"MI","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,1112.16136666068,"PA","Occupation and Business","License Taxes","Million Dollars","Real"
2007,1740.83022425025,"MI","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,357.868566978013,"ME","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,0,"CT","Public Utilities","License Taxes","Million Dollars","Real"
2007,131.706092593129,"ID","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,3544.2170738255,"CA","Property Tax","Property Taxes","Million Dollars","Real"
2007,73.3503658557771,"NV","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,5590.82226140332,"VA","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,108.78496851602,"IL","Veh. Operators","License Taxes","Million Dollars","Real"
2007,126.869906156082,"OH","Veh. Operators","License Taxes","Million Dollars","Real"
2007,22.6888517641336,"FL","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,52.9057876322449,"CO","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,303.070759842725,"OK","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,41.5521323867486,"AZ","Veh. Operators","License Taxes","Million Dollars","Real"
2007,13.7317545558251,"ND","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,0.449162353567933,"ND","Amusement","License Taxes","Million Dollars","Real"
2007,153.261270882675,"IL","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,2.83341457284977,"UT","Alcohol","License Taxes","Million Dollars","Real"
2007,14.3993451772241,"SC","Property Tax","Property Taxes","Million Dollars","Real"
2007,423.663160639524,"OR","Occupation and Business","License Taxes","Million Dollars","Real"
2007,4.65006094121871,"MT","Corporations","License Taxes","Million Dollars","Real"
2007,8.1079957727965,"CT","Other","License Taxes","Million Dollars","Real"
2007,26.1375572322819,"MO","Veh. Operators","License Taxes","Million Dollars","Real"
2007,1159.80487891089,"MD","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,85.2208654533241,"AK","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,3572.54199019057,"MI","Property Tax","Property Taxes","Million Dollars","Real"
2007,210.564850189066,"CO","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,9.82158091620293,"CT","Alcohol","License Taxes","Million Dollars","Real"
2007,1516.9535555414,"AZ","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,689.710329084897,"MN","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,214.898036319206,"VA","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,61.3168141709759,"NV","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1236.16863192639,"WY","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,217.820668071874,"NH","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,140.780095071544,"OH","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,0,"UT","Property Tax","Property Taxes","Million Dollars","Real"
2007,0.293801402505052,"NH","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,663.582001216045,"KS","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,9.51701192303015,"AR","Other","License Taxes","Million Dollars","Real"
2007,226.522419558634,"LA","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,52.4043255525766,"ID","Public Utilities","License Taxes","Million Dollars","Real"
2007,140.569357939904,"TX","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,84.8040058717594,"VT","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,863.522315870543,"OK","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,903.130129028148,"NJ","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,14.1024673202425,"MI","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,788.581423050419,"MN","Vehicles","License Taxes","Million Dollars","Real"
2007,46.4052393234158,"ND","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,398.906931467187,"NV","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1206.47623154652,"NJ","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,45.8853185168885,"VT","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,301.734040372689,"FL","Corporations","License Taxes","Million Dollars","Real"
2007,90.7261807390078,"SD","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,9.9169510049742,"ND","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,0.11382881563023,"MA","Property Tax","Property Taxes","Million Dollars","Real"
2007,423.493955643317,"KY","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,10.1507615451876,"ID","Veh. Operators","License Taxes","Million Dollars","Real"
2007,209.85111275052,"ND","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,0,"MI","Taxes, not elsewhere classified","Other Taxes","Million Dollars","Real"
2007,792.762324683973,"FL","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,10.8060463486806,"AK","Other","License Taxes","Million Dollars","Real"
2007,688.51512652078,"OH","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,2.56114835168017,"MT","Alcohol","License Taxes","Million Dollars","Real"
2007,7.01893088811808,"VA","Other","License Taxes","Million Dollars","Real"
2007,4101.83829173495,"IA","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,29.2509291624925,"NY","Public Utilities","License Taxes","Million Dollars","Real"
2007,189.946452287612,"SD","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,4.54546148901796,"NM","Corporations","License Taxes","Million Dollars","Real"
2007,592.629731624694,"NH","Property Tax","Property Taxes","Million Dollars","Real"
2007,40.6045844079888,"MO","Property Tax","Property Taxes","Million Dollars","Real"
2007,3517.19811238571,"PA","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,462.123456277397,"MA","Vehicles","License Taxes","Million Dollars","Real"
2007,3.25950351784401,"MD","Other","License Taxes","Million Dollars","Real"
2007,166.611545083415,"HI","Vehicles","License Taxes","Million Dollars","Real"
2007,3021.22904218517,"OK","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,1037.62502760422,"MN","Property Tax","Property Taxes","Million Dollars","Real"
2007,122.564408116231,"MS","Occupation and Business","License Taxes","Million Dollars","Real"
2007,960.176824385753,"DE","Corporations","License Taxes","Million Dollars","Real"
2007,29.5401158832829,"VT","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,37.2804753461385,"ND","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,873.391581831132,"AL","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,688.332077479428,"IA","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,15.8575845990816,"AR","Taxes, not elsewhere classified","Other Taxes","Million Dollars","Real"
2007,235.13956854729,"VA","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
2007,6.45901617339641,"MO","Alcohol","License Taxes","Million Dollars","Real"
2007,1518.40102737259,"IN","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,350.19588951364,"CO","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,50252.6148360366,"CA","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,89.4832931305048,"NY","Alcohol","License Taxes","Million Dollars","Real"
2007,327.683933881905,"NE","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,514.403185423676,"VT","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,1390.80969264177,"LA","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,4.09937558992652,"DE","Veh. Operators","License Taxes","Million Dollars","Real"
2007,513.54023994302,"OH","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,1622.54054962911,"ME","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,3.06722511306322,"WA","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,358.771506366863,"WA","Occupation and Business","License Taxes","Million Dollars","Real"
2007,57.7250535696707,"CA","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,22.1058636408383,"NC","Alcohol","License Taxes","Million Dollars","Real"
2007,131.009275654203,"ME","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,948.526291283275,"LA","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,32.113570052869,"KS","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,8.91710330011407,"LA","Public Utilities","License Taxes","Million Dollars","Real"
2007,64.3855775112774,"NM","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,2.9703167970537,"ID","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1966.60198891662,"NY","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,487.454982436838,"ND","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,500.042295927408,"IA","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,8.97247948069094,"KY","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,40.6122755441801,"VA","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,273.101478559971,"NC","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
2007,56.6775208204249,"FL","Alcohol","License Taxes","Million Dollars","Real"
2007,83.4980509464882,"NE","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,36.9512947171538,"WA","Corporations","License Taxes","Million Dollars","Real"
2007,16735.7400706696,"NY","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,4.8423393459995,"NH","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,185.853229606638,"NM","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,22.7688395805224,"DE","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,7.21890042909011,"VT","Corporations","License Taxes","Million Dollars","Real"
2007,47.9803840153801,"MS","Veh. Operators","License Taxes","Million Dollars","Real"
2007,213.52593762269,"ND","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,55.179287490373,"UT","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,2.27503808536635,"RI","Property Tax","Property Taxes","Million Dollars","Real"
2007,356.705667185898,"ID","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,6876.79253839517,"MN","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,0,"CO","Property Tax","Property Taxes","Million Dollars","Real"
2007,76.9098236850791,"OK","Corporations","License Taxes","Million Dollars","Real"
2007,82.8812218239514,"LA","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,116.645309703459,"VT","Vehicles","License Taxes","Million Dollars","Real"
2007,537.098190096762,"WV","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1564.66474979009,"GA","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,4467.62872898993,"AR","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,997.669575090769,"OH","Corporations","License Taxes","Million Dollars","Real"
2007,973.72245344575,"AR","Property Tax","Property Taxes","Million Dollars","Real"
2007,0.558376487483424,"NM","Other","License Taxes","Million Dollars","Real"
2007,466.799667081666,"UT","Vehicles","License Taxes","Million Dollars","Real"
2007,13.0980049336676,"IL","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,264.693528475717,"VA","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,165.285593204047,"NH","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,0,"MO","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
2007,20.8798965319559,"WA","Amusement","License Taxes","Million Dollars","Real"
2007,4.79619252885211,"MA","Alcohol","License Taxes","Million Dollars","Real"
2007,1965.13605835857,"ID","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,17.8280536912752,"ME","Veh. Operators","License Taxes","Million Dollars","Real"
2007,241.872389169094,"NY","Veh. Operators","License Taxes","Million Dollars","Real"
2007,85.5931164449797,"NM","Property Tax","Property Taxes","Million Dollars","Real"
2007,96.0976702549641,"UT","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,213.216753947803,"AR","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,180.717088858134,"DE","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,2.33810540213445,"MN","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1053.05498503107,"CO","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,73.3196013110121,"DE","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,26.6897808108124,"VT","Occupation and Business","License Taxes","Million Dollars","Real"
2007,22.6257844473655,"MS","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,57.502010620125,"NH","Corporations","License Taxes","Million Dollars","Real"
2007,420.706687887614,"AL","Property Tax","Property Taxes","Million Dollars","Real"
2007,86.7637073732852,"PA","Public Utilities","License Taxes","Million Dollars","Real"
2007,62.1613009247731,"CT","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,6.39748708386656,"ME","Alcohol","License Taxes","Million Dollars","Real"
2007,1.0952177936314,"MI","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
2007,13.4840999704675,"ME","Other","License Taxes","Million Dollars","Real"
2007,1449.23771605932,"OK","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,74.5271096930355,"MN","Veh. Operators","License Taxes","Million Dollars","Real"
2007,2236.13016560214,"IL","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,565.833813134442,"VA","Vehicles","License Taxes","Million Dollars","Real"
2007,6396.88871347088,"WI","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,26.4851965881256,"OK","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,190.224871417735,"UT","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
